Filename,File Name,Resource Type,Title,Author names,Author Affiliations,Author Identifiers,Author Identifier Type,Keywords,Language,Description,Description Type,Format,Funding Agency,Contributor Name,Contributor Role,Embargo Date,License
0_1_Cjejuni.mp4,0_1_Cjejuni.mp4,Audiovisual,Campylobacter jejuni,Catherine Oikonomou; Grant Jensen,"Caltech; Caltech, HHMI",0000-0003-2312-4746; 0000-0003-1556-4864,ORCID,Jensen lab; Atlas of Bacterial and Archaeal Cell Structure; CryoEM; CryoET,English,Movie from the Atlas of Bacterial and Archaeal Cell Structure,Series Information,.mp4,"Major funding for tomography in the Jensen Lab has come from the NIH, HHMI, Beckman Institute, Gordon and Betty Moore Foundation, Agouron Institute, and John Templeton Foundation.",Morgan Beeby,Data Collector,,Creative Commons Attribution-NonCommercial (CC-BY-NC)
1_1_Saureus.mp4,1_1_Saureus.mp4,Audiovisual,Staphylococcus aureus,Catherine Oikonomou; Grant Jensen,"Caltech; Caltech, HHMI",0000-0003-2312-4746; 0000-0003-1556-4864,ORCID,Jensen lab; Atlas of Bacterial and Archaeal Cell Structure; CryoEM; CryoET,English,Movie from the Atlas of Bacterial and Archaeal Cell Structure,Series Information,.mp4,"Major funding for tomography in the Jensen Lab has come from the NIH, HHMI, Beckman Institute, Gordon and Betty Moore Foundation, Agouron Institute, and John Templeton Foundation.",David Rogers,Data Collector,,Creative Commons Attribution-NonCommercial (CC-BY-NC)
1_2_Ecoli.mp4,1_2_Ecoli.mp4,Audiovisual,Escherichia coli,Catherine Oikonomou; Grant Jensen,"Caltech; Caltech, HHMI",0000-0003-2312-4746; 0000-0003-1556-4864,ORCID,Jensen lab; Atlas of Bacterial and Archaeal Cell Structure; CryoEM; CryoET,English,Movie from the Atlas of Bacterial and Archaeal Cell Structure,Series Information,.mp4,"Major funding for tomography in the Jensen Lab has come from the NIH, HHMI, Beckman Institute, Gordon and Betty Moore Foundation, Agouron Institute, and John Templeton Foundation.",Howard Berg,Data Collector,,Creative Commons Attribution-NonCommercial (CC-BY-NC)
1_3_Soneidensis.mp4,1_3_Soneidensis.mp4,Audiovisual,Shewanella oneidensis,Catherine Oikonomou; Grant Jensen,"Caltech; Caltech, HHMI",0000-0003-2312-4746; 0000-0003-1556-4864,ORCID,Jensen lab; Atlas of Bacterial and Archaeal Cell Structure; CryoEM; CryoET,English,Movie from the Atlas of Bacterial and Archaeal Cell Structure,Series Information,.mp4,"Major funding for tomography in the Jensen Lab has come from the NIH, HHMI, Beckman Institute, Gordon and Betty Moore Foundation, Agouron Institute, and John Templeton Foundation.",Sahand Pirbadian; Mohammed El-Naggar,Data Collector; Data Collector,,Creative Commons Attribution-NonCommercial (CC-BY-NC)
1_4_Soneidensis.mp4,1_4_Soneidensis.mp4,Audiovisual,Shewanella oneidensis,Catherine Oikonomou; Grant Jensen,"Caltech; Caltech, HHMI",0000-0003-2312-4746; 0000-0003-1556-4864,ORCID,Jensen lab; Atlas of Bacterial and Archaeal Cell Structure; CryoEM; CryoET,English,Movie from the Atlas of Bacterial and Archaeal Cell Structure,Series Information,.mp4,"Major funding for tomography in the Jensen Lab has come from the NIH, HHMI, Beckman Institute, Gordon and Betty Moore Foundation, Agouron Institute, and John Templeton Foundation.",Mohammed Kaplan,Data Collector,,Creative Commons Attribution-NonCommercial (CC-BY-NC)
1_5_Ccrescentus.mp4,1_5_Ccrescentus.mp4,Audiovisual,Caulobacter crescentus,Catherine Oikonomou; Grant Jensen,"Caltech; Caltech, HHMI",0000-0003-2312-4746; 0000-0003-1556-4864,ORCID,Jensen lab; Atlas of Bacterial and Archaeal Cell Structure; CryoEM; CryoET,English,Movie from the Atlas of Bacterial and Archaeal Cell Structure,Series Information,.mp4,"Major funding for tomography in the Jensen Lab has come from the NIH, HHMI, Beckman Institute, Gordon and Betty Moore Foundation, Agouron Institute, and John Templeton Foundation.",Steven Wang,Data Collector,,Creative Commons Attribution-NonCommercial (CC-BY-NC)
1_6_Ccrescentus.mp4,1_6_Ccrescentus.mp4,Audiovisual,Caulobacter crescentus,Catherine Oikonomou; Grant Jensen,"Caltech; Caltech, HHMI",0000-0003-2312-4746; 0000-0003-1556-4864,ORCID,Jensen lab; Atlas of Bacterial and Archaeal Cell Structure; CryoEM; CryoET,English,Movie from the Atlas of Bacterial and Archaeal Cell Structure,Series Information,.mp4,"Major funding for tomography in the Jensen Lab has come from the NIH, HHMI, Beckman Institute, Gordon and Betty Moore Foundation, Agouron Institute, and John Templeton Foundation.",Steven Wang,Data Collector,,Creative Commons Attribution-NonCommercial (CC-BY-NC)
1_7_Cjejuni.mp4,1_7_Cjejuni.mp4,Audiovisual,Campylobacter jejuni,Catherine Oikonomou; Grant Jensen,"Caltech; Caltech, HHMI",0000-0003-2312-4746; 0000-0003-1556-4864,ORCID,Jensen lab; Atlas of Bacterial and Archaeal Cell Structure; CryoEM; CryoET,English,Movie from the Atlas of Bacterial and Archaeal Cell Structure,Series Information,.mp4,"Major funding for tomography in the Jensen Lab has come from the NIH, HHMI, Beckman Institute, Gordon and Betty Moore Foundation, Agouron Institute, and John Templeton Foundation.",Morgan Beeby; Alasdair McDowall,Data Collector; Data Collector,,Creative Commons Attribution-NonCommercial (CC-BY-NC)
1_8_Cjejuni.mp4,1_8_Cjejuni.mp4,Audiovisual,Campylobacter jejuni,Catherine Oikonomou; Grant Jensen,"Caltech; Caltech, HHMI",0000-0003-2312-4746; 0000-0003-1556-4864,ORCID,Jensen lab; Atlas of Bacterial and Archaeal Cell Structure; CryoEM; CryoET,English,Movie from the Atlas of Bacterial and Archaeal Cell Structure,Series Information,.mp4,"Major funding for tomography in the Jensen Lab has come from the NIH, HHMI, Beckman Institute, Gordon and Betty Moore Foundation, Agouron Institute, and John Templeton Foundation.",Matthias Wolf; Fadel Samatey,Data Collector; Data Collector,,Creative Commons Attribution-NonCommercial (CC-BY-NC)
1_9_Cjejuni.mp4,1_9_Cjejuni.mp4,Audiovisual,Campylobacter jejuni,Catherine Oikonomou; Grant Jensen,"Caltech; Caltech, HHMI",0000-0003-2312-4746; 0000-0003-1556-4864,ORCID,Jensen lab; Atlas of Bacterial and Archaeal Cell Structure; CryoEM; CryoET,English,Movie from the Atlas of Bacterial and Archaeal Cell Structure,Series Information,.mp4,"Major funding for tomography in the Jensen Lab has come from the NIH, HHMI, Beckman Institute, Gordon and Betty Moore Foundation, Agouron Institute, and John Templeton Foundation.",Fadel Samatey,Data Collector,,Creative Commons Attribution-NonCommercial (CC-BY-NC)
